day,code,orders,kind
1,,103,baseline
2,,100,baseline
3,,94,baseline
3,MEDI-글램미0,6,code
3,,0,organic_lift
4,,94,baseline
4,MEDI-글램미0,7,code
4,,5,organic_lift
4,MEDI-부지런한딩1,14,code
4,,7,organic_lift
5,,111,baseline
5,MEDI-글램미0,2,code
5,MEDI-부지런한딩1,8,code
5,,9,organic_lift
5,MEDI-조코딩JOC2,5,code
5,,4,organic_lift
6,,102,baseline
6,MEDI-부지런한딩1,6,code
6,MEDI-조코딩JOC2,4,code
6,,3,organic_lift
6,MEDI-보아따3,12,code
6,,12,organic_lift
7,,105,baseline
7,MEDI-글램미0,1,code
7,MEDI-부지런한딩1,7,code
7,MEDI-조코딩JOC2,3,code
7,MEDI-보아따3,12,code
7,,6,organic_lift
7,MEDI-누누제인4,3,code
7,,0,organic_lift
8,,99,baseline
8,MEDI-글램미0,1,code
8,MEDI-부지런한딩1,5,code
8,MEDI-조코딩JOC2,3,code
8,MEDI-보아따3,8,code
8,MEDI-누누제인4,2,code
8,,1,organic_lift
9,,104,baseline
9,MEDI-글램미0,1,code
9,MEDI-부지런한딩1,2,code
9,MEDI-보아따3,5,code
10,,83,baseline
10,MEDI-부지런한딩1,1,code
10,MEDI-보아따3,6,code
10,MEDI-누누제인4,2,code
11,,92,baseline
11,MEDI-조코딩JOC2,1,code
11,MEDI-보아따3,3,code
11,MEDI-누누제인4,1,code
12,,93,baseline
12,MEDI-보아따3,1,code
12,MEDI-누누제인4,1,code
13,,104,baseline
13,MEDI-누누제인4,3,code
14,,106,baseline
15,,98,baseline
16,,104,baseline
17,,102,baseline
18,,111,baseline
19,,101,baseline
20,,109,baseline
21,,93,baseline
22,,102,baseline
23,,110,baseline
24,,99,baseline
25,,99,baseline
26,,99,baseline
27,,102,baseline
28,,105,baseline
