channel,channel_url,subscribers,title,views,likes,comments,upload_date,duration,url
일단이나연 NAYEON,https://www.youtube.com/channel/UCbFbzOHmp04AS2ZkFSpQ4Og,513000,(SUB) 광고❌ 이나연의 꿀피부 만드는 법🍯 l 수분진정 기초템 추천💧 l 나이트 루틴 대공개 l 효소 클렌저 l 워터 에센스,2337755,27163,588,20231006,859,https://www.youtube.com/watch?v=CSAsSoCKij8
Risabae,https://www.youtube.com/channel/UC9kmlDcqksaOnCkC_qzGacA,2680000,(광고X) 저 기초제품 이렇게 3개 발라요!🙋🏻‍♀ l 이사배(RISABAE Makeup),1962433,22664,483,20230126,532,https://www.youtube.com/watch?v=ldDbF3u6rLQ
Jaina,https://www.youtube.com/channel/UCYsv-IHC-B-DiVMmJuqibcg,282000,[11] 매일 하면 피부 정말 좋아지는 스킨케어루틴! 효과 본 성분과 제품들 전부 다 풀었어요. 피부를 위해 꼭 써야 하는 6가지 성분들 Daily skin care routine,1388035,21749,2100,20230409,1101,https://www.youtube.com/watch?v=A2QT1ITXRHM
한혜진 Han Hye Jin,https://www.youtube.com/channel/UCkvh3vrWsoi_cd7HyiikzIQ,922000,"잠들기 직전까지 관리하는 탑모델 한혜진의 나이트루틴 최초공개｜마스크팩, 스킨케어, 마사지기 정보 (주름, 탄력, 보습 다 잡는 동안 피부 비결)",1141611,14598,330,20231017,953,https://www.youtube.com/watch?v=34jcAuEGzYc
헤이유정 YUJUNG,https://www.youtube.com/channel/UCbK4gpzzFpF5cfQ5HQMl15g,151000,(SUB) 광고X ‘클렌징/스킨케어 루틴 !💧' 틈만 나면 좁쌀여드름나고 뒤집어지는 개복치 피부 모여! | 얇은 민감 복합성 피부| N번째 공병템들,997997,0,587,20240903,774,https://www.youtube.com/watch?v=8b8HnOhthbY
닥터블랑_예뻐지는비결,https://www.youtube.com/channel/UCXFd79l1HUumoM6spU4D1Cw,188000,"(광고 ❌) 의사가 직접 써보고 고른 피부 좋아지는 선크림 5가지! ""올리브영에서 보이면 무조건 사세요"" | 내돈내산 선크림 리뷰",774331,15985,383,20250403,1217,https://www.youtube.com/watch?v=9eKeRX-gmO8
디렉터 파이,https://www.youtube.com/channel/UCqrNqg3UgVoD3Sa-F_TxuSA,1040000,"(*Eng) 2025 선크림 1위는?🥇 35종 성분, 기능, 지속력, 화잘먹 업그레이드템 추천! 선크림 세안 방법은?  I Best Sunscreens by Directorpi",660765,5759,547,20250429,1434,https://www.youtube.com/watch?v=1b-i4cIl4lE
지켜츄 Chuu Can Do It,https://www.youtube.com/channel/UChK2DhvPSG3sY0jIYYngVBA,1410000,"(ENG) 요즘 인생 피부 만난 츄의 나이트 루틴🌙 | 화장 잘 받는 방법, 건성 피부 관리",580914,11467,372,20250518,856,https://www.youtube.com/watch?v=wNJ6p6wR3Uw
최종시안,https://www.youtube.com/channel/UC_1ETgrcrLjHOP0YJmkWLVQ,360000,[SUB](광고❌) 여드름 피부→꿀광 피부 되는 찐 스킨케어🌙 | 클렌징•스킨&바디 케어•마스크팩 추천.mov,433495,8190,259,20251205,1242,https://www.youtube.com/watch?v=C2s4ehShSPM
회사원A,https://www.youtube.com/channel/UCnekLiljel-Px4ClMC7b3mg,1310000,광고❌ 내돈내산⭕ 곧 여름인데 파데프리용 톤업 선크림 제대로 보여드릴게 😎,390074,3496,489,20260509,1086,https://www.youtube.com/watch?v=CzfIjuoRIQI
스완SWAN_현실남자관리,https://www.youtube.com/channel/UChaTUCM7bPBTJaIZQ83PNwQ,504000,선크림 이제 이거 쓰시면 됩니다🔥 2025 남자 선크림 추천,366516,3867,597,20250323,658,https://www.youtube.com/watch?v=VNZO9s4tWv8
