channel,channel_url,subscribers,title,views,likes,comments,upload_date,duration,url
보아따,https://www.youtube.com/channel/UCdQMMMG6182pyLn4CAAgiVA,158,메디테라피 레티날 세럼을 써보아따! #내돈내산,8596,42,28,20251013,587,https://www.youtube.com/watch?v=okG2SHg2l7I
조코딩 JoCoding,https://www.youtube.com/channel/UCQNE2JmbasNYbjGAcuBiRRg,,1년 만에 매출 120억 찍은 화장품 회사의 AI 활용법 | AX 인재전쟁 1화 메디테라피,7446,89,26,20260624,446,https://www.youtube.com/watch?v=1KwyhyBo0Rs
누누제인,https://www.youtube.com/channel/UCerPmCeozvq2DjbD0Almdgg,19,메디테라피 레티날 세럼 3종 키트 #내돈내산 사용 후기🔥,1244,7,3,20260329,245,https://www.youtube.com/watch?v=hA0HxVhIYqs
예진다움,https://www.youtube.com/channel/UCaFvzWBUjNGYee0bLSo4Qug,180,심부볼 제거 하는 방법 / 심부볼 리프팅 / 리프팅 / 홈케어 / 내돈내산 / 갈바닉추천 / 인모톡스 / 심부볼제거 / 아무아갈바닉 / 메디테라피 / 홈케어 디바이스 / 봄웜라,1229,6,4,20250921,816,https://www.youtube.com/watch?v=o7YLxEfBoqA
베스트픽업5,https://www.youtube.com/channel/UCxtOrziUCX6sTbdPA7IN56w,122,"피부 고민 해결! 토소웅 선크림, 더바디샵, 닥터505, 메디테라피, 나이아신아마이드 솔직 리뷰",2,0,1,20250818,73,https://www.youtube.com/watch?v=YT_GP93wSuU
글램미,https://www.youtube.com/channel/UC9Z-KxdMBq8G1xypxuCS7oQ,14400,[#글램미시즌3] ENG SUB 솔라(solar)의 생얼 치트키!바르고 자는 유산균 톤업 크림? 🌟Season 3🌟 EP.01 #오윤아 #솔라 #양지은 #글램미#메디테라피,6850,171,21,20240921,651,https://www.youtube.com/watch?v=RJZwwSQ8tc4
아임깡지imgangji,https://www.youtube.com/channel/UCUPZHHcEA4rQyeMpApPWcdQ,1980,✨SNS광고템리뷰✨메디테라피 릴렉스패치 광고처럼 붓기가 빠지냐구요?? ... ｜깡소템📁,6022,23,13,20200429,208,https://www.youtube.com/watch?v=Tmxk28BAphs
쏭이 ssongyi,https://www.youtube.com/channel/UCRFbaqbzwDeJqgKulH889ug,603,메디테라피 속살패드 리얼 후기 :),6549,14,6,20200630,185,https://www.youtube.com/watch?v=KnaJ8SJO7EQ
오지월드,https://www.youtube.com/channel/UCXpfSPYjMKeenWxfvl8sU5Q,251,노협찬내돈내산💸 | 메디테라피링클핏마스크 한달사용 리얼후기 | ⭐️주관적후기,59028,333,69,20221230,436,https://www.youtube.com/watch?v=m7i6PM7-E94
선데이미디어,https://www.youtube.com/channel/UC6zDQHALEBtuEhGYlT1ZTfA,27900,"[트렌드쇼퍼 시즌2] 달라지는 효과, 직접 경험하세요 메디테라피 필리지오 볼륨 펌핑파 ＆ EMS 슈마지",24907,57,15,20241011,411,https://www.youtube.com/watch?v=lvYl4Fn5m50
"뷰티,데일리윤드 (윤드뷰티&데일리)",https://www.youtube.com/channel/UCvwVaqh38JYHoMRIBiix4cQ,1220,수족냉증 고민해결?! SNS에서 이미 핫한 메디테라피 릴렉스 패치 사용후기! #윤드리뷰,654,0,0,20200428,208,https://www.youtube.com/watch?v=fCRLtxWxwTE
아림다운,https://www.youtube.com/channel/UCaOGbc0TjByjTNtdLyIC60Q,1200,승모근 뿌셔! 괄사마사지방법! (feat. 메디테라피 속살괄사),7443,54,1,20220914,876,https://www.youtube.com/watch?v=Scv8BbA9GUQ
에일린의행복한리뷰,https://www.youtube.com/channel/UCmoCz6kH9pJtTHCgUyAgo3A,6550,주름관리 보르피린 함유 콜라겐마스크팩 메디테라피 링클핏 사용후기,1829,9,0,20220906,203,https://www.youtube.com/watch?v=Q0iYhl48QVQ
아.가.리,https://www.youtube.com/channel/UCuwZIUM_i8sv-8TJcxCeJBA,93,∫⊙아.가.리⊙∫메디테라피 괄사 리뷰,472,2,0,20230504,321,https://www.youtube.com/watch?v=Qdp3qvY2Ca8
부지런한딩,https://www.youtube.com/channel/UCKY4xEc1wi3FNJesYYzx5kA,207,날것 그대로의 SNS 광고템 리뷰 3탄 - 메디테라피 포세라샷 타이트닝 쿨 패치(내돈내산),1039,29,2,20241029,388,https://www.youtube.com/watch?v=NunJA-8TYkk
선데이미디어,https://www.youtube.com/channel/UC6zDQHALEBtuEhGYlT1ZTfA,27900,[트렌드쇼퍼 시즌2] 바르고 자면 끝! 메디테라피! 포쎄라 리얼 비피다 블러 크림,28772,51,7,20241203,347,https://www.youtube.com/watch?v=x4IZ30HDbK4
