query,title,channel,channel_url,views,duration,url,brand_in_title
메디테라피,[Review Diary] Pony's Basic Skincare Recommendations,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,4668,537,https://www.youtube.com/watch?v=1FP9gNpnMtU,False
메디테라피,메디테라피 레티날 세럼을 써보아따! #내돈내산 ,보아따,https://www.youtube.com/channel/UCdQMMMG6182pyLn4CAAgiVA,8596,587,https://www.youtube.com/watch?v=okG2SHg2l7I,True
메디테라피,[Beauty Style] Pony's Recommended Skincare Routine,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,1934,567,https://www.youtube.com/watch?v=ZaNwWeHKsoc,False
메디테라피,1년 만에 매출 120억 찍은 화장품 회사의 AI 활용법 | AX 인재전쟁 1화 메디테라피,조코딩 JoCoding and 조코딩AX파트너스,,7446,446,https://www.youtube.com/watch?v=1KwyhyBo0Rs,True
메디테라피,How to Use | R&B MAT,MEDITHERAPY,https://www.youtube.com/channel/UCgn6NQlhLe5BDTjiSyY8NTw,4154,187,https://www.youtube.com/watch?v=y3HAzeRT0jI,False
메디테라피,솔직하게 피부과 안가도 됩니다❗효과보장 시술없이 피부 바꾸는성분+꿀템조합✨,Arang 아랑,https://www.youtube.com/channel/UCY2YdDn7zXtRbNR0fJ9V_YQ,38833,988,https://www.youtube.com/watch?v=QW3d4Sxb89E,False
메디테라피,How to Use | RELAX PATCH,MEDITHERAPY,https://www.youtube.com/channel/UCgn6NQlhLe5BDTjiSyY8NTw,3887,90,https://www.youtube.com/watch?v=E6i3T7tf4vc,False
메디테라피,Should I buy the SNS advertisement item or not? Please don't buy this⚠️ All real reviews revealed!,민베리 Minberry,https://www.youtube.com/channel/UCa6EsGl8QGAtNLe773lNbHA,30049,919,https://www.youtube.com/watch?v=85D0ECD6rfw,False
메디테라피,[셀링라이프 시즌2] 바르고 자는 톤업 루틴🌙,제이에스미디어,https://www.youtube.com/channel/UCWTeyRY9ZaYUSBRof_h-suQ,2719,571,https://www.youtube.com/watch?v=Qf29h6rVb_A,False
메디테라피,피부과 안가고 홈케어로 3주만에💥 색소침착 피부 필수시청⚠️ (진짜 진심 개좋음…) 구독자 이벤트🩵,우밀키 WOOMILKY,https://www.youtube.com/channel/UCPyxqlqi2uDHR48IV2RQjaQ,6230,246,https://www.youtube.com/watch?v=Mtv-_Ujrsns,False
메디테라피,[셀링라이프 시즌4] 바르고 자면 생얼 미인? 씻을 필요 없는 톤업 치트키💥,제이에스미디어,https://www.youtube.com/channel/UCWTeyRY9ZaYUSBRof_h-suQ,674,1164,https://www.youtube.com/watch?v=p-FMNoRclNc,False
메디테라피,메디테라피 레티날 세럼 3종 키트 #내돈내산 사용 후기🔥,누누제인,https://www.youtube.com/channel/UCerPmCeozvq2DjbD0Almdgg,1244,245,https://www.youtube.com/watch?v=hA0HxVhIYqs,True
메디테라피,Full-body circulation massage (ft. Meditherapy massage) that helped me through the NASDAQ crash,테미녀 : 테슬라에 미친 여자,https://www.youtube.com/channel/UCmCzEQuec5F1de8kNY94bEA,2177,261,https://www.youtube.com/watch?v=rkgWoSnEB7o,False
메디테라피,[리뷰다이어리] 포니의 피부 컨디션 UP 시키는 방법,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,10386,328,https://www.youtube.com/watch?v=FLoJHa8lUSU,False
메디테라피,SNS 광고템 속지마세요‼️ 꿀템&후회템 솔직 리뷰 10가지,민가든,https://www.youtube.com/channel/UCr_QBNzvSm_a7mreIpTregw,42783,1021,https://www.youtube.com/watch?v=AF3s007NRx8,False
메디테라피,청담 아이돌 메이크업 필수템 with 히알루론산 스킨 부스터 퍼스트 세럼 (커뮌 대표원장 해민선생),MEDITHERAPY,https://www.youtube.com/channel/UCgn6NQlhLe5BDTjiSyY8NTw,8450,200,https://www.youtube.com/watch?v=wb8reFea078,False
메디테라피,심부볼 제거 하는 방법 / 심부볼 리프팅 / 리프팅 / 홈케어 / 내돈내산 / 갈바닉추천 / 인모톡스 / 심부볼제거 / 아무아갈바닉 / 메디테라피 / 홈케어 디바이스 / 봄웜라 ,예진다움,https://www.youtube.com/channel/UCaFvzWBUjNGYee0bLSo4Qug,1229,817,https://www.youtube.com/watch?v=o7YLxEfBoqA,True
메디테라피,[Beauty Style] Pony's Skin Tone-Up Routine,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,214,421,https://www.youtube.com/watch?v=yE2P0MD0Kc4,False
메디테라피,They said on Facebook that it would make your legs thinner? LOL I bought a Meditherapy EMS mat an...,디에디트 THE EDIT,https://www.youtube.com/channel/UCJKZoVf3RIMfFffjdseqdEg,100044,615,https://www.youtube.com/watch?v=1rOQXYxyaFs,False
메디테라피,팩폭리뷰🔥제발 이거 보고 사세요! 소문난 10만원대 생콜라겐팩부터 안면거상팩ㅣ아이돌스프레이ㅣ좁쌀패치ㅣ순삭EMS리프팅기기ㅣ로즈픽스 Rosefix,로즈픽스rosefix,https://www.youtube.com/channel/UChr2Yvl1kepJWL2Q8sX2Udg,40602,506,https://www.youtube.com/watch?v=clDka7cTtbQ,False
메디테라피 선크림,[SUB]요청폭주🔥2026 톤업 선크림 왕중왕전🥇21개 장단점비교 정리 (광고X) Highly Requested 🔥 2026 Tone-Up Sunscreen Showdown,소살 Sora Salon,https://www.youtube.com/channel/UCPkgjWwYOiMKqNJpwdA8lPA,114710,1161,https://www.youtube.com/watch?v=BtHmub08FZY,False
메디테라피 선크림,광고❌ 내돈내산⭕ 곧 여름인데 파데프리용 톤업 선크림 제대로 보여드릴게 😎,회사원A,https://www.youtube.com/channel/UCnekLiljel-Px4ClMC7b3mg,389262,1086,https://www.youtube.com/watch?v=CzfIjuoRIQI,False
메디테라피 선크림,✨뽀얀 피부가 추구미야...? 여름에도 뽀얀 피부 유지하는 가.장. 쉽고 저렴한 꿀팁 5가지! (+씽크빅템 추천...!),이영 eeyoung,https://www.youtube.com/channel/UCnvc1ZvOsXhMBroQ6x-ZusQ,2082,512,https://www.youtube.com/watch?v=PZFP4OmHRxw,False
메디테라피 선크림,"sns광고템 좋을까? 본격 상세리뷰 (feat. 본셉 립타투 vs 오아드, 모공블러크림. 브이쎄라, 히디프 클린키트, 쿠에른 여름샌들, 렌블링 축고정렌즈)",나랑,https://www.youtube.com/channel/UCg0mwETWY2shTcDdkI0xuAw,5517,731,https://www.youtube.com/watch?v=mLf8d7JKdDU,False
메디테라피 선크림,Please... not the one that makes you look pale❌ What's the best tone-up sunscreen that makes your...,림온 RIMON,https://www.youtube.com/channel/UCQG5MOnlAl5nUDR_JFOrrxA,177010,868,https://www.youtube.com/watch?v=m30P2SJqmbE,False
메디테라피 선크림,"(*Eng) 2025 선크림 1위는?🥇 35종 성분, 기능, 지속력, 화잘먹 업그레이드템 추천! 선크림 세안 방법은?  I Best Sunscreens by Directorpi",디렉터 파이,https://www.youtube.com/channel/UCqrNqg3UgVoD3Sa-F_TxuSA,660557,1435,https://www.youtube.com/watch?v=1b-i4cIl4lE,False
메디테라피 선크림,"따라만하면 진짜 피부 좋아지는 스킨케어 루틴🌟효과미친 여름 피부관리 꿀템(급속 진정케어•찐 모공축소템•블랙헤드,피지,각질제거•트러블 스킨케어)",미닝 Minning,https://www.youtube.com/channel/UCiAzDHGJTIjlXZZKj9aErWw,5225,1068,https://www.youtube.com/watch?v=0QjkM0SRsw0,False
메디테라피 선크림,"[자막뉴스] ""선크림은 잘 안 지워지네?"" '폼클렌저' 검수해 봤더니.. (MBC충북 뉴스)",MBCNEWS,https://www.youtube.com/channel/UCF4Wxdo3inmxP-Y59wXDsFw,2302227,114,https://www.youtube.com/watch?v=WEmjqZgbpxM,False
메디테라피 선크림,[뷰티스타일] 모공까지 잡아주는 톤업크림,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,4199,185,https://www.youtube.com/watch?v=O5pZiwHU6ak,False
메디테라피 선크림,"피부 고민 해결! 토소웅 선크림, 더바디샵, 닥터505, 메디테라피, 나이아신아마이드 솔직 리뷰",베스트픽업5,https://www.youtube.com/channel/UCxtOrziUCX6sTbdPA7IN56w,2,73,https://www.youtube.com/watch?v=YT_GP93wSuU,True
메디테라피 선크림,This is why dermatologists have such great skin. 😳 We've revealed all the secret dermatologists' ...,한별두별[Hanna],https://www.youtube.com/channel/UCYfAankzCbhjIV4EsU4Vzdw,330403,915,https://www.youtube.com/watch?v=DJWZOsghlZE,False
메디테라피 선크림,'화장 안뜨는 스킨케어' 분명 있어요!🍯따라하면 무조건 화장 잘먹는 꿀템,반짝반짝 윤재희,https://www.youtube.com/channel/UCmpFrQ4YIb8q3WHCguCsCqw,1627,834,https://www.youtube.com/watch?v=2fwKCw8H8TQ,False
메디테라피 선크림,[#글램미시즌3] ENG SUB 솔라(solar)의 생얼 치트키!바르고 자는 유산균 톤업 크림? 🌟Season 3🌟 EP.01 #오윤아 #솔라 #양지은 #글램미#메디테라피,글램미,https://www.youtube.com/channel/UC9Z-KxdMBq8G1xypxuCS7oQ,6850,652,https://www.youtube.com/watch?v=RJZwwSQ8tc4,True
메디테라피 선크림,[Beauty Style] Yeom Se-bin's Secret to Fair Skin,블루문미디어,https://www.youtube.com/channel/UCO2EACboqTBLDy9dq3MD5Rg,98,385,https://www.youtube.com/watch?v=gF7jmc_CsAM,False
메디테라피 선크림,"(*Eng) 2024 톤업크림 1위는? 🏅톤업 선크림과 뭐가 달라? 성분, 기능, 지속력, 이지워시 체크 by 디렉터파이",디렉터 파이,https://www.youtube.com/channel/UCqrNqg3UgVoD3Sa-F_TxuSA,283660,1254,https://www.youtube.com/watch?v=uLUrEFcJvu0,False
